Wavelength,DY415,DY490,AT520,AT550,TRX,AT620,AT655
446.7,0.39713222,0,0,0,0,0,0
446.8,0.40057056,0,0,0,0,0,0
446.9,0.40400891,0,0,0,0,0,0
447,0.40744726,0,0,0,0,0,0
447.1,0.4108856,0,0,0,0,0,0
447.2,0.41432395,0,0,0,0,0,0
447.3,0.4177623,0,0,0,0,0,0
447.4,0.42120065,0,0,0,0,0,0
447.5,0.42463899,0,0,0,0,0,0
447.6,0.42807734,0,0,0,0,0,0
447.7,0.43151569,0,0,0,0,0,0
447.8,0.43495403,0,0,0,0,0,0
447.9,0.43839238,0,0,0,0,0,0
448,0.44183073,0,0,0,0,0,0
448.1,0.44526908,0,0,0,0,0,0
448.2,0.44870742,0,0,0,0,0,0
448.3,0.45214577,0,0,0,0,0,0
448.4,0.45558412,0,0,0,0,0,0
448.5,0.45902246,0,0,0,0,0,0
448.6,0.46246081,0,0,0,0,0,0
448.7,0.46589916,0,0,0,0,0,0
448.8,0.4693375,0,0,0,0,0,0
448.9,0.47277585,0,0,0,0,0,0
449,0.4762142,0,0,0,0,0,0
449.1,0.47965255,0,0,0,0,0,0
449.2,0.48309089,0,0,0,0,0,0
449.3,0.48652924,0,0,0,0,0,0
449.4,0.48996759,0,0,0,0,0,0
449.5,0.49340593,0,0,0,0,0,0
449.6,0.49684428,0,0,0,0,0,0
449.7,0.50028263,0,0,0,0,0,0
449.8,0.50372098,0,0,0,0,0,0
449.9,0.50715932,0,0,0,0,0,0
450,0.51059767,0,0,0,0,0,0
450.1,0.51403602,0,0,0,0,0,0
450.2,0.51747436,0,0,0,0,0,0
450.3,0.52091271,0,0,0,0,0,0
450.4,0.52518843,0,0,0,0,0,0
450.5,0.5305787,0,0,0,0,0,0
450.6,0.53596896,0,0,0,0,0,0
450.7,0.54135923,0,0,0,0,0,0
450.8,0.54674949,0,0,0,0,0,0
450.9,0.55213976,0,0,0,0,0,0
451,0.55753002,0,0,0,0,0,0
451.1,0.56292029,0,0,0,0,0,0
451.2,0.56831055,0,0,0,0,0,0
451.3,0.57370082,0,0,0,0,0,0
451.4,0.57909108,0,0,0,0,0,0
451.5,0.58448135,0,0,0,0,0,0
451.6,0.58987161,0,0,0,0,0,0
451.7,0.59526188,0,0,0,0,0,0
451.8,0.60065214,0,0,0,0,0,0
451.9,0.60604241,0,0,0,0,0,0
452,0.61143267,0,0,0,0,0,0
452.1,0.61682294,0,0,0,0,0,0
452.2,0.6222132,0,0,0,0,0,0
452.3,0.62760347,0,0,0,0,0,0
452.4,0.63299374,0,0,0,0,0,0
452.5,0.638384,0,0,0,0,0,0
452.6,0.64377427,0,0,0,0,0,0
452.7,0.64916453,0,0,0,0,0,0
452.8,0.6545548,0,0,0,0,0,0
452.9,0.65994506,0,0,0,0,0,0
453,0.66533533,0,0,0,0,0,0
453.1,0.67072559,0,0,0,0,0,0
453.2,0.67611586,0,0,0,0,0,0
453.3,0.68150612,0,0,0,0,0,0
453.4,0.68689639,0,0,0,0,0,0
453.5,0.69228665,0,0,0,0,0,0
453.6,0.69767692,0,0,0,0,0,0
453.7,0.70306718,0,0,0,0,0,0
453.8,0.70845745,0,0,0,0,0,0
453.9,0.71384771,0,0,0,0,0,0
454,0.71923798,0,0,0,0,0,0
454.1,0.72462824,0,0,0,0,0,0
454.2,0.73001851,0,0,0,0,0,0
454.3,0.73540877,0,0,0,0,0,0
454.4,0.74079904,0,0,0,0,0,0
454.5,0.74618931,0,0,0,0,0,0
454.6,0.75157957,0,0,0,0,0,0
454.7,0.75696984,0,0,0,0,0,0
454.8,0.7623601,0,0,0,0,0,0
454.9,0.76775037,0,0,0,0,0,0
455,0.77314063,0,0,0,0,0,0
455.1,0.7785309,0,0,0,0,0,0
455.2,0.78392116,0,0,0,0,0,0
455.3,0.78850684,0,0,0,0,0,0
455.4,0.7913906,0,0,0,0,0,0
455.5,0.79427437,0,0,0,0,0,0
455.6,0.79715813,0,0,0,0,0,0
455.7,0.8000419,0,0,0,0,0,0
455.8,0.80292566,0,0,0,0,0,0
455.9,0.80580943,0,0,0,0,0,0
456,0.80869319,0,0,0,0,0,0
456.1,0.81157696,0,0,0,0,0,0
456.2,0.81446072,0,0,0,0,0,0
456.3,0.81734449,0,0,0,0,0,0
456.4,0.82022825,0,0,0,0,0,0
456.5,0.82311201,0,0,0,0,0,0
456.6,0.82599578,0,0,0,0,0,0
456.7,0.82887954,0,0,0,0,0,0
456.8,0.83176331,0,0,0,0,0,0
456.9,0.83464707,0,0,0,0,0,0
457,0.83753084,0,0,0,0,0,0
457.1,0.8404146,0,0,0,0,0,0
457.2,0.84329837,0,0,0,0,0,0
457.3,0.84618213,0,0,0,0,0,0
457.4,0.8490659,0,0,0,0,0,0
457.5,0.85194966,0,0,0,0,0,0
457.6,0.85483342,0,0,0,0,0,0
457.7,0.85771719,0,0,0,0,0,0
457.8,0.86060095,0,0,0,0,0,0
457.9,0.86348472,0,0,0,0,0,0
458,0.86636848,0,0,0,0,0,0
458.1,0.86925225,0,0,0,0,0,0
458.2,0.87213601,0,0,0,0,0,0
458.3,0.87501978,0,0,0,0,0,0
458.4,0.87790354,0,0,0,0,0,0
458.5,0.88078731,0,0,0,0,0,0
458.6,0.88367107,0,0,0,0,0,0
458.7,0.88655483,0,0,0,0,0,0
458.8,0.8894386,0,0,0,0,0,0
458.9,0.89232236,0,0,0,0,0,0
459,0.89520613,0,0,0,0,0,0
459.1,0.89808989,0,0,0,0,0,0
459.2,0.90097366,0,0,0,0,0,0
459.3,0.90385742,0,0,0,0,0,0
459.4,0.90674119,0,0,0,0,0,0
459.5,0.90962495,0,0,0,0,0,0
459.6,0.91250872,0,0,0,0,0,0
459.7,0.91539248,0,0,0,0,0,0
459.8,0.91827624,0,0,0,0,0,0
459.9,0.92116001,0,0,0,0,0,0
